geography_id,geography_desc,geography_desc_full,total_units,"Calculated percentage of units for broadband serviceable locations contained within the geography for which providers report residential fixed broadband service with Copper, Cable, Fiber to the Premises, or Licensed Fixed Wireless technology and speeds of at least 25 / 3 Mbps."
31129,Nuckolls County,"Nuckolls County, NE",3410,0.88389999
35005,Chaves County,"Chaves County, NM",31906,0.884
29043,Christian County,"Christian County, MO",41159,0.88410002
48059,Callahan County,"Callahan County, TX",9551,0.88410002
49003,Box Elder County,"Box Elder County, UT",24079,0.88410002
41029,Jackson County,"Jackson County, OR",110792,0.88419998
31067,Gage County,"Gage County, NE",13440,0.88440001
48499,Wood County,"Wood County, TX",31106,0.88440001
32007,Elko County,"Elko County, NV",26036,0.88450003
35041,Roosevelt County,"Roosevelt County, NM",10325,0.88450003
36097,Schuyler County,"Schuyler County, NY",11129,0.88450003
72105,Naranjito Municipio,"Naranjito Municipio, PR",12882,0.88450003
13085,Dawson County,"Dawson County, GA",14761,0.88480002
27097,Morrison County,"Morrison County, MN",19977,0.88499999
55047,Green Lake County,"Green Lake County, WI",13693,0.88499999
13111,Fannin County,"Fannin County, GA",20465,0.88559997
29081,Harrison County,"Harrison County, MO",5549,0.88559997
39141,Ross County,"Ross County, OH",37183,0.88559997
29171,Putnam County,"Putnam County, MO",4401,0.88569999
35027,Lincoln County,"Lincoln County, NM",22131,0.88569999
8083,Montezuma County,"Montezuma County, CO",15550,0.8858
48143,Erath County,"Erath County, TX",24839,0.8858
17199,Williamson County,"Williamson County, IL",38726,0.88590002
13123,Gilmer County,"Gilmer County, GA",20224,0.88599998
48195,Hansford County,"Hansford County, TX",3497,0.88620001
56039,Teton County,"Teton County, WY",15788,0.88639998
20123,Mitchell County,"Mitchell County, KS",4424,0.8865
13285,Troup County,"Troup County, GA",33451,0.88660002
51131,Northampton County,"Northampton County, VA",8755,0.88660002
37101,Johnston County,"Johnston County, NC",104428,0.88700002
37103,Jones County,"Jones County, NC",5909,0.88700002
50025,Windham County,"Windham County, VT",34202,0.88700002
35043,Sandoval County,"Sandoval County, NM",67414,0.8876
72035,Cayey Municipio,"Cayey Municipio, PR",20980,0.88770002
48189,Hale County,"Hale County, TX",17064,0.88779998
48219,Hockley County,"Hockley County, TX",11959,0.88800001
42051,Fayette County,"Fayette County, PA",71754,0.88810003
42081,Lycoming County,"Lycoming County, PA",63569,0.88810003
47059,Greene County,"Greene County, TN",38947,0.88819999
5041,Desha County,"Desha County, AR",7245,0.88859999
51620,Franklin city,"Franklin city, VA",4799,0.88870001
55077,Marquette County,"Marquette County, WI",13130,0.88870001
31021,Burt County,"Burt County, NE",4892,0.889
19001,Adair County,"Adair County, IA",5347,0.88910002
40061,Haskell County,"Haskell County, OK",7650,0.88929999
48427,Starr County,"Starr County, TX",27466,0.88929999
33003,Carroll County,"Carroll County, NH",48078,0.88940001
31095,Jefferson County,"Jefferson County, NE",5113,0.88950002
47019,Carter County,"Carter County, TN",31360,0.88959998
26015,Barry County,"Barry County, MI",32210,0.88980001
26073,Isabella County,"Isabella County, MI",34582,0.88990003
72059,Guayanilla Municipio,"Guayanilla Municipio, PR",8984,0.88990003
2275,Wrangell City and Borough,"Wrangell City and Borough, AK",1683,0.8901
48101,Cottle County,"Cottle County, TX",1520,0.8901
19181,Warren County,"Warren County, IA",25009,0.89029998
37139,Pasquotank County,"Pasquotank County, NC",20828,0.89050001
21121,Knox County,"Knox County, KY",15009,0.8908
26145,Saginaw County,"Saginaw County, MI",100336,0.8908
28095,Monroe County,"Monroe County, MS",24927,0.8908
35029,Luna County,"Luna County, NM",13745,0.8908
20079,Harvey County,"Harvey County, KS",16811,0.89099997
2063,Chugach Census Area,"Chugach Census Area, AK",4152,0.89109999
1077,Lauderdale County,"Lauderdale County, AL",51344,0.89120001
47105,Loudon County,"Loudon County, TN",28957,0.89130002
17083,Jersey County,"Jersey County, IL",12104,0.89160001
56037,Sweetwater County,"Sweetwater County, WY",21802,0.89160001
48259,Kendall County,"Kendall County, TX",25428,0.8919
72121,Sabana Grande Municipio,"Sabana Grande Municipio, PR",11502,0.8919
28023,Clarke County,"Clarke County, MS",10412,0.89200002
48349,Navarro County,"Navarro County, TX",30317,0.89200002
55035,Eau Claire County,"Eau Claire County, WI",52969,0.89200002
26059,Hillsdale County,"Hillsdale County, MI",26833,0.89209998
27055,Houston County,"Houston County, MN",10855,0.89209998
30041,Hill County,"Hill County, MT",9715,0.89230001
8025,Crowley County,"Crowley County, CO",2044,0.89240003
27009,Benton County,"Benton County, MN",21308,0.89240003
29079,Grundy County,"Grundy County, MO",6422,0.89240003
18181,White County,"White County, IN",16163,0.89249998
17135,Montgomery County,"Montgomery County, IL",16332,0.8926
31181,Webster County,"Webster County, NE",2709,0.8926
18083,Knox County,"Knox County, IN",21360,0.89289999
19123,Mahaska County,"Mahaska County, IA",12281,0.89289999
27049,Goodhue County,"Goodhue County, MN",25254,0.8933
40091,McIntosh County,"McIntosh County, OK",16140,0.8933
47119,Maury County,"Maury County, TN",51418,0.8933
26147,St. Clair County,"St. Clair County, MI",86589,0.89340001
18175,Washington County,"Washington County, IN",14948,0.89349997
40051,Grady County,"Grady County, OK",28867,0.89359999
5013,Calhoun County,"Calhoun County, AR",3531,0.89380002
47153,Sequatchie County,"Sequatchie County, TN",8065,0.89389998
39097,Madison County,"Madison County, OH",20056,0.89420003
40147,Washington County,"Washington County, OK",27688,0.89420003
18053,Grant County,"Grant County, IN",34165,0.89459997
29127,Marion County,"Marion County, MO",15606,0.89459997
48129,Donley County,"Donley County, TX",2960,0.89459997
48345,Motley County,"Motley County, TX",1187,0.89469999
30049,Lewis and Clark County,"Lewis and Clark County, MT",41953,0.89480001
12027,DeSoto County,"DeSoto County, FL",18810,0.89490002
42085,Mercer County,"Mercer County, PA",58694,0.89499998
72103,Naguabo Municipio,"Naguabo Municipio, PR",12202,0.89529997
19085,Harrison County,"Harrison County, IA",9165,0.89539999
48209,Hays County,"Hays County, TX",110148,0.8955
45047,Greenwood County,"Greenwood County, SC",37389,0.89560002
13157,Jackson County,"Jackson County, GA",34791,0.89569998
48247,Jim Hogg County,"Jim Hogg County, TX",2956,0.89579999
20047,Edwards County,"Edwards County, KS",2276,0.89590001
18065,Henry County,"Henry County, IN",24160,0.8962
20151,Pratt County,"Pratt County, KS",5724,0.89639997
47155,Sevier County,"Sevier County, TN",69203,0.89649999
13237,Putnam County,"Putnam County, GA",16235,0.89679998
51027,Buchanan County,"Buchanan County, VA",12491,0.89700001
39065,Hardin County,"Hardin County, OH",15855,0.89709997
54009,Brooke County,"Brooke County, WV",12583,0.89719999
20031,Coffey County,"Coffey County, KS",5275,0.8973
28149,Warren County,"Warren County, MS",25031,0.89749998
30015,Chouteau County,"Chouteau County, MT",4545,0.89749998
17203,Woodford County,"Woodford County, IL",19569,0.89819998
47053,Gibson County,"Gibson County, TN",26750,0.89819998
17061,Greene County,"Greene County, IL",8563,0.89840001
72041,Cidra Municipio,"Cidra Municipio, PR",18188,0.89840001
31019,Buffalo County,"Buffalo County, NE",26443,0.89850003
72131,San SebastiÃ¡n Municipio,"San SebastiÃ¡n Municipio, PR",19764,0.89850003
19019,Buchanan County,"Buchanan County, IA",11470,0.89859998
35015,Eddy County,"Eddy County, NM",34422,0.8987
53027,Grays Harbor County,"Grays Harbor County, WA",41802,0.8987
55073,Marathon County,"Marathon County, WI",73011,0.8987
24019,Dorchester County,"Dorchester County, MD",19580,0.89889997
23015,Lincoln County,"Lincoln County, ME",26001,0.89899999
28121,Rankin County,"Rankin County, MS",74531,0.89899999
19029,Cass County,"Cass County, IA",8407,0.89929998
28107,Panola County,"Panola County, MS",18551,0.8994
16069,Nez Perce County,"Nez Perce County, ID",22027,0.89960003
48083,Coleman County,"Coleman County, TX",7443,0.89960003
55093,Pierce County,"Pierce County, WI",20512,0.89960003
23025,Somerset County,"Somerset County, ME",33086,0.89969999
47145,Roane County,"Roane County, TN",28990,0.89969999
40099,Murray County,"Murray County, OK",9114,0.89999998
18177,Wayne County,"Wayne County, IN",35313,0.90009999
19173,Taylor County,"Taylor County, IA",4914,0.90030003
48377,Presidio County,"Presidio County, TX",4343,0.90030003
30019,Daniels County,"Daniels County, MT",1587,0.90039998
47143,Rhea County,"Rhea County, TN",17868,0.90039998
72054,Florida Municipio,"Florida Municipio, PR",5217,0.9005
37107,Lenoir County,"Lenoir County, NC",31829,0.90069997
48199,Hardin County,"Hardin County, TX",30015,0.90069997
26029,Charlevoix County,"Charlevoix County, MI",21005,0.90079999
39021,Champaign County,"Champaign County, OH",19877,0.90100002
51177,Spotsylvania County,"Spotsylvania County, VA",60138,0.90109998
46135,Yankton County,"Yankton County, SD",15225,0.90130001
17025,Clay County,"Clay County, IL",9474,0.90140003
24041,Talbot County,"Talbot County, MD",23083,0.9016
26123,Newaygo County,"Newaygo County, MI",29282,0.9016
20027,Clay County,"Clay County, KS",5424,0.90170002
37047,Columbus County,"Columbus County, NC",33518,0.90170002
41041,Lincoln County,"Lincoln County, OR",37071,0.90179998
27143,Sibley County,"Sibley County, MN",7968,0.90200001
31115,Loup County,"Loup County, NE",572,0.90210003
13109,Evans County,"Evans County, GA",5524,0.90219998
18079,Jennings County,"Jennings County, IN",14162,0.9023
1049,DeKalb County,"DeKalb County, AL",36458,0.90249997
18167,Vigo County,"Vigo County, IN",53484,0.90249997
4021,Pinal County,"Pinal County, AZ",214151,0.90259999
36035,Fulton County,"Fulton County, NY",31365,0.90270001
20165,Rush County,"Rush County, KS",2710,0.903
26107,Mecosta County,"Mecosta County, MI",25852,0.903
12017,Citrus County,"Citrus County, FL",95686,0.90319997
13115,Floyd County,"Floyd County, GA",46604,0.90319997
5019,Clark County,"Clark County, AR",12989,0.90359998
19079,Hamilton County,"Hamilton County, IA",9132,0.90369999
20101,Lane County,"Lane County, KS",1391,0.90369999
39007,Ashtabula County,"Ashtabula County, OH",56482,0.90369999
54039,Kanawha County,"Kanawha County, WV",105630,0.90369999
54029,Hancock County,"Hancock County, WV",16699,0.90380001
5135,Sharp County,"Sharp County, AR",12456,0.90390003
6033,Lake County,"Lake County, CA",38994,0.90399998
46079,Lake County,"Lake County, SD",7957,0.90399998
46123,Tripp County,"Tripp County, SD",4326,0.9041
30099,Teton County,"Teton County, MT",4153,0.90420002
45067,Marion County,"Marion County, SC",18035,0.90420002
48329,Midland County,"Midland County, TX",86917,0.90420002
72007,Aguas Buenas Municipio,"Aguas Buenas Municipio, PR",11355,0.90420002
19095,Iowa County,"Iowa County, IA",9746,0.90439999
31097,Johnson County,"Johnson County, NE",3164,0.90460002
48323,Maverick County,"Maverick County, TX",23416,0.90499997
47183,Weakley County,"Weakley County, TN",17908,0.90509999
13209,Montgomery County,"Montgomery County, GA",4469,0.90530002
27041,Douglas County,"Douglas County, MN",26886,0.90530002
39081,Jefferson County,"Jefferson County, OH",38370,0.90539998
48425,Somervell County,"Somervell County, TX",5238,0.90549999
22055,Lafayette Parish,"Lafayette Parish, LA",126428,0.90560001
29133,Mississippi County,"Mississippi County, MO",6539,0.90560001
48467,Van Zandt County,"Van Zandt County, TX",36194,0.90560001
35045,San Juan County,"San Juan County, NM",55107,0.90570003
31179,Wayne County,"Wayne County, NE",5087,0.90579998
48023,Baylor County,"Baylor County, TX",3311,0.90579998
55111,Sauk County,"Sauk County, WI",40376,0.90579998
47029,Cocke County,"Cocke County, TN",21372,0.9059
18019,Clark County,"Clark County, IN",60716,0.90609998
20193,Thomas County,"Thomas County, KS",4979,0.90619999
37105,Lee County,"Lee County, NC",30768,0.90619999
1117,Shelby County,"Shelby County, AL",101802,0.90630001
46021,Campbell County,"Campbell County, SD",1590,0.90630001
40065,Jackson County,"Jackson County, OK",14310,0.90640002
39117,Morrow County,"Morrow County, OH",18257,0.9066
48279,Lamb County,"Lamb County, TX",8041,0.9066
6047,Merced County,"Merced County, CA",103981,0.90679997
50011,Franklin County,"Franklin County, VT",26463,0.90679997
13297,Walton County,"Walton County, GA",41455,0.90689999
29039,Cedar County,"Cedar County, MO",8497,0.90689999
30107,Wheatland County,"Wheatland County, MT",1666,0.90700001
36003,Allegany County,"Allegany County, NY",27315,0.90700001
6071,San Bernardino County,"San Bernardino County, CA",830760,0.90710002
36105,Sullivan County,"Sullivan County, NY",58416,0.90710002
41057,Tillamook County,"Tillamook County, OR",22069,0.90719998
17099,LaSalle County,"LaSalle County, IL",63735,0.9073
22105,Tangipahoa Parish,"Tangipahoa Parish, LA",68939,0.9073
37151,Randolph County,"Randolph County, NC",73030,0.9073
48479,Webb County,"Webb County, TX",100828,0.90740001
17077,Jackson County,"Jackson County, IL",34467,0.90759999
29053,Cooper County,"Cooper County, MO",9534,0.90759999
42001,Adams County,"Adams County, PA",49082,0.90759999
21205,Rowan County,"Rowan County, KY",12484,0.9077
36107,Tioga County,"Tioga County, NY",24800,0.9077
42005,Armstrong County,"Armstrong County, PA",36973,0.90780002
48337,Montague County,"Montague County, TX",14117,0.90780002
19077,Guthrie County,"Guthrie County, IA",7801,0.90799999
6079,San Luis Obispo County,"San Luis Obispo County, CA",142060,0.90810001
5141,Van Buren County,"Van Buren County, AR",12046,0.9084
12131,Walton County,"Walton County, FL",65570,0.90850002
42055,Franklin County,"Franklin County, PA",76681,0.90869999
45055,Kershaw County,"Kershaw County, SC",36440,0.90880001
21125,Laurel County,"Laurel County, KY",30815,0.90890002
48047,Brooks County,"Brooks County, TX",4213,0.9091
55087,Outagamie County,"Outagamie County, WI",91008,0.9091
36037,Genesee County,"Genesee County, NY",29882,0.90920001
19023,Butler County,"Butler County, IA",8666,0.90960002
19073,Greene County,"Greene County, IA",5972,0.91009998
47081,Hickman County,"Hickman County, TN",12834,0.9102
1051,Elmore County,"Elmore County, AL",43769,0.91049999
32013,Humboldt County,"Humboldt County, NV",9061,0.91049999
13035,Butts County,"Butts County, GA",11334,0.91070002
8029,Delta County,"Delta County, CO",19032,0.91079998
28115,Pontotoc County,"Pontotoc County, MS",16710,0.91079998
13235,Pulaski County,"Pulaski County, GA",5185,0.9109
31111,Lincoln County,"Lincoln County, NE",19989,0.91109997
56015,Goshen County,"Goshen County, WY",7258,0.91109997
30111,Yellowstone County,"Yellowstone County, MT",86263,0.9113
47185,White County,"White County, TN",14534,0.9113
8123,Weld County,"Weld County, CO",145742,0.91140002
48233,Hutchinson County,"Hutchinson County, TX",12365,0.91140002
1125,Tuscaloosa County,"Tuscaloosa County, AL",120033,0.91149998
17095,Knox County,"Knox County, IL",28877,0.91149998
72143,Vega Alta Municipio,"Vega Alta Municipio, PR",18034,0.91149998
28049,Hinds County,"Hinds County, MS",121026,0.91159999
37109,Lincoln County,"Lincoln County, NC",44333,0.91170001
13179,Liberty County,"Liberty County, GA",29397,0.91189998
17045,Edgar County,"Edgar County, IL",11413,0.91189998
55053,Jackson County,"Jackson County, WI",12861,0.91189998
6055,Napa County,"Napa County, CA",65046,0.912
19175,Union County,"Union County, IA",7807,0.91210002
28109,Pearl River County,"Pearl River County, MS",29747,0.91210002
31083,Harlan County,"Harlan County, NE",3302,0.91219997
1055,Etowah County,"Etowah County, AL",57579,0.91229999
48205,Hartley County,"Hartley County, TX",2772,0.91229999
27061,Itasca County,"Itasca County, MN",30186,0.91240001
48281,Lampasas County,"Lampasas County, TX",12829,0.91240001
1115,St. Clair County,"St. Clair County, AL",46341,0.9127
48099,Coryell County,"Coryell County, TX",30483,0.9127
48475,Ward County,"Ward County, TX",7650,0.9127
53073,Whatcom County,"Whatcom County, WA",117062,0.91289997
6053,Monterey County,"Monterey County, CA",165026,0.9131
6057,Nevada County,"Nevada County, CA",60778,0.9131
20035,Cowley County,"Cowley County, KS",18414,0.91320002
13227,Pickens County,"Pickens County, GA",17726,0.91329998
28089,Madison County,"Madison County, MS",57345,0.91329998
36023,Cortland County,"Cortland County, NY",23425,0.91329998
48159,Franklin County,"Franklin County, TX",7642,0.91339999
49001,Beaver County,"Beaver County, UT",3746,0.91350001
35019,Guadalupe County,"Guadalupe County, NM",3125,0.91360003
36013,Chautauqua County,"Chautauqua County, NY",76613,0.91360003
37053,Currituck County,"Currituck County, NC",19129,0.91369998
8125,Yuma County,"Yuma County, CO",6405,0.9138
26055,Grand Traverse County,"Grand Traverse County, MI",57184,0.9138
31159,Seward County,"Seward County, NE",9273,0.9138
36053,Madison County,"Madison County, NY",34587,0.91390002
51001,Accomack County,"Accomack County, VA",26133,0.91390002
36021,Columbia County,"Columbia County, NY",38314,0.91399997
47021,Cheatham County,"Cheatham County, TN",19565,0.91409999
19139,Muscatine County,"Muscatine County, IA",21528,0.91420001
23019,Penobscot County,"Penobscot County, ME",82831,0.91430002
17001,Adams County,"Adams County, IL",38988,0.91439998
25003,Berkshire County,"Berkshire County, MA",80542,0.91439998
8069,Larimer County,"Larimer County, CO",180025,0.9145
20191,Sumner County,"Sumner County, KS",13092,0.91460001
40037,Creek County,"Creek County, OK",37406,0.91479999
1039,Covington County,"Covington County, AL",23078,0.9149
8085,Montrose County,"Montrose County, CO",22957,0.9149
51800,Suffolk city,"Suffolk city, VA",45372,0.9149
28035,Forrest County,"Forrest County, MS",40452,0.91500002
36115,Washington County,"Washington County, NY",33119,0.91500002
28025,Clay County,"Clay County, MS",11304,0.91509998
45027,Clarendon County,"Clarendon County, SC",21683,0.9152
55001,Adams County,"Adams County, WI",19966,0.91530001
16071,Oneida County,"Oneida County, ID",2790,0.91540003
37147,Pitt County,"Pitt County, NC",91413,0.9156
46111,Sanborn County,"Sanborn County, SD",1816,0.91570002
22121,West Baton Rouge Parish,"West Baton Rouge Parish, LA",13611,0.91600001
40111,Okmulgee County,"Okmulgee County, OK",20920,0.91600001
33019,Sullivan County,"Sullivan County, NH",25500,0.91610003
47011,Bradley County,"Bradley County, TN",51513,0.91619998
13015,Bartow County,"Bartow County, GA",50658,0.91640002
19125,Marion County,"Marion County, IA",17389,0.91640002
31049,Deuel County,"Deuel County, NE",1471,0.91640002
23009,Hancock County,"Hancock County, ME",44783,0.91649997
31101,Keith County,"Keith County, NE",7143,0.91680002
20007,Barber County,"Barber County, KS",3934,0.91689998
31073,Gosper County,"Gosper County, NE",1685,0.91689998
20087,Jefferson County,"Jefferson County, KS",9683,0.917
46087,McCook County,"McCook County, SD",3680,0.91710001
16039,Elmore County,"Elmore County, ID",13400,0.91720003
27093,Meeker County,"Meeker County, MN",13693,0.91720003
40071,Kay County,"Kay County, OK",26174,0.91720003
40123,Pontotoc County,"Pontotoc County, OK",21674,0.91720003
20097,Kiowa County,"Kiowa County, KS",1632,0.91729999
26117,Montcalm County,"Montcalm County, MI",34154,0.91729999
28155,Webster County,"Webster County, MS",6094,0.91729999
5045,Faulkner County,"Faulkner County, AR",60866,0.9174
51097,King and Queen County,"King and Queen County, VA",4130,0.9174
36073,Orleans County,"Orleans County, NY",20352,0.91750002
39091,Logan County,"Logan County, OH",28759,0.91750002
12101,Pasco County,"Pasco County, FL",337149,0.91769999
20013,Brown County,"Brown County, KS",6221,0.91769999
39089,Licking County,"Licking County, OH",81443,0.91769999
26121,Muskegon County,"Muskegon County, MI",89206,0.91790003
53063,Spokane County,"Spokane County, WA",256594,0.91790003
13021,Bibb County,"Bibb County, GA",82228,0.91799998
12091,Okaloosa County,"Okaloosa County, FL",113879,0.91829997
26045,Eaton County,"Eaton County, MI",55572,0.91829997
47023,Chester County,"Chester County, TN",8712,0.91829997
48125,Dickens County,"Dickens County, TX",1938,0.91850001
47141,Putnam County,"Putnam County, TN",41847,0.91869998
42119,Union County,"Union County, PA",20549,0.9188
16045,Gem County,"Gem County, ID",9152,0.91890001
27121,Pope County,"Pope County, MN",8009,0.91930002
45089,Williamsburg County,"Williamsburg County, SC",19023,0.91930002
53017,Douglas County,"Douglas County, WA",20417,0.91930002
13039,Camden County,"Camden County, GA",25707,0.91939998
19145,Page County,"Page County, IA",9192,0.91939998
51167,Russell County,"Russell County, VA",18372,0.91939998
18011,Boone County,"Boone County, IN",32864,0.91949999
19101,Jefferson County,"Jefferson County, IA",10164,0.91949999
27051,Grant County,"Grant County, MN",4060,0.91949999
40041,Delaware County,"Delaware County, OK",31066,0.91960001
46089,McPherson County,"McPherson County, SD",2164,0.91960001
72015,Arroyo Municipio,"Arroyo Municipio, PR",8653,0.92000002
26075,Jackson County,"Jackson County, MI",80793,0.92009997
37089,Henderson County,"Henderson County, NC",64860,0.92009997
8097,Pitkin County,"Pitkin County, CO",16455,0.92019999
21207,Russell County,"Russell County, KY",12325,0.92019999
40085,Love County,"Love County, OK",6037,0.92019999
51185,Tazewell County,"Tazewell County, VA",24377,0.92019999
21193,Perry County,"Perry County, KY",16096,0.92040002
55127,Walworth County,"Walworth County, WI",62072,0.92049998
22047,Iberville Parish,"Iberville Parish, LA",15934,0.92070001
29143,New Madrid County,"New Madrid County, MO",9755,0.92070001
72099,Moca Municipio,"Moca Municipio, PR",18930,0.92070001
18135,Randolph County,"Randolph County, IN",14007,0.92079997
12069,Lake County,"Lake County, FL",204567,0.92089999
1095,Marshall County,"Marshall County, AL",49117,0.92110002
28097,Montgomery County,"Montgomery County, MS",6666,0.92110002
48019,Bandera County,"Bandera County, TX",17645,0.92110002
17105,Livingston County,"Livingston County, IL",20768,0.92119998
30005,Blaine County,"Blaine County, MT",4648,0.92129999
36045,Jefferson County,"Jefferson County, NY",64845,0.92129999
8021,Conejos County,"Conejos County, CO",5278,0.92140001
16055,Kootenai County,"Kootenai County, ID",90009,0.92140001
20029,Cloud County,"Cloud County, KS",6033,0.92140001
48305,Lynn County,"Lynn County, TX",3741,0.92140001
37023,Burke County,"Burke County, NC",46747,0.9217
36113,Warren County,"Warren County, NY",45009,0.92210001
48245,Jefferson County,"Jefferson County, TX",123747,0.92210001
1071,Jackson County,"Jackson County, AL",29845,0.92220002
49005,Cache County,"Cache County, UT",51359,0.92220002
49007,Carbon County,"Carbon County, UT",12190,0.92220002
27035,Crow Wing County,"Crow Wing County, MN",50325,0.92229998
45025,Chesterfield County,"Chesterfield County, SC",25496,0.92229998
48295,Lipscomb County,"Lipscomb County, TX",2590,0.9224
55109,St. Croix County,"St. Croix County, WI",42114,0.9224
20077,Harper County,"Harper County, KS",4292,0.92259997
8065,Lake County,"Lake County, CO",4995,0.92290002
27103,Nicollet County,"Nicollet County, MN",15044,0.92290002
50003,Bennington County,"Bennington County, VT",24327,0.92290002
19067,Floyd County,"Floyd County, IA",9046,0.92339998
21105,Hickman County,"Hickman County, KY",2975,0.92339998
29069,Dunklin County,"Dunklin County, MO",16017,0.9235
26067,Ionia County,"Ionia County, MI",30574,0.92360002
48069,Castro County,"Castro County, TX",4373,0.92360002
72057,Guayama Municipio,"Guayama Municipio, PR",19601,0.92379999
12113,Santa Rosa County,"Santa Rosa County, FL",86400,0.92390001
24001,Allegany County,"Allegany County, MD",38072,0.92390001
39029,Columbiana County,"Columbiana County, OH",55434,0.92400002
44005,Newport County,"Newport County, RI",50540,0.9242
51770,Roanoke city,"Roanoke city, VA",54536,0.9242
32029,Storey County,"Storey County, NV",2535,0.92430001
56021,Laramie County,"Laramie County, WY",51543,0.92430001
54003,Berkeley County,"Berkeley County, WV",59292,0.92439997
29135,Moniteau County,"Moniteau County, MO",7930,0.92460001
51600,Fairfax city,"Fairfax city, VA",11359,0.92460001
36025,Delaware County,"Delaware County, NY",34773,0.92470002
17137,Morgan County,"Morgan County, IL",19327,0.92479998
5031,Craighead County,"Craighead County, AR",55576,0.9249
48375,Potter County,"Potter County, TX",58711,0.9249
17175,Stark County,"Stark County, IL",3574,0.92500001
29049,Clinton County,"Clinton County, MO",12674,0.92500001
1079,Lawrence County,"Lawrence County, AL",19507,0.92510003
12037,Franklin County,"Franklin County, FL",10144,0.92510003
19093,Ida County,"Ida County, IA",4742,0.92510003
36065,Oneida County,"Oneida County, NY",116686,0.92510003
6083,Santa Barbara County,"Santa Barbara County, CA",181499,0.9253
13293,Upson County,"Upson County, GA",14390,0.92559999
29129,Mercer County,"Mercer County, MO",2768,0.92559999
48107,Crosby County,"Crosby County, TX",3857,0.92559999
51161,Roanoke County,"Roanoke County, VA",47237,0.92559999
8063,Kit Carson County,"Kit Carson County, CO",4962,0.926
21195,Pike County,"Pike County, KY",31970,0.926
8077,Mesa County,"Mesa County, CO",78394,0.92610002
27171,Wright County,"Wright County, MN",66788,0.92640001
48491,Williamson County,"Williamson County, TX",279075,0.92640001
18123,Perry County,"Perry County, IN",11035,0.92650002
5035,Crittenden County,"Crittenden County, AR",24708,0.92680001
8115,Sedgwick County,"Sedgwick County, CO",1899,0.92680001
48359,Oldham County,"Oldham County, TX",1246,0.92699999
39155,Trumbull County,"Trumbull County, OH",110467,0.92720002
36117,Wayne County,"Wayne County, NY",47292,0.92750001
13295,Walker County,"Walker County, GA",33537,0.9278
48123,DeWitt County,"DeWitt County, TX",14923,0.92790002
54037,Jefferson County,"Jefferson County, WV",26980,0.92790002
13311,White County,"White County, GA",17264,0.92809999
21047,Christian County,"Christian County, KY",30824,0.92809999
33001,Belknap County,"Belknap County, NH",45391,0.92820001
45071,Newberry County,"Newberry County, SC",22193,0.92820001
22007,Assumption Parish,"Assumption Parish, LA",12125,0.92830002
46055,Haakon County,"Haakon County, SD",1705,0.92839998
29201,Scott County,"Scott County, MO",19701,0.9285
36011,Cayuga County,"Cayuga County, NY",41153,0.9285
48477,Washington County,"Washington County, TX",21974,0.92860001
13279,Toombs County,"Toombs County, GA",14600,0.92879999
18005,Bartholomew County,"Bartholomew County, IN",41040,0.92879999
46125,Turner County,"Turner County, SD",5561,0.92879999
41053,Polk County,"Polk County, OR",38925,0.9289
46097,Miner County,"Miner County, SD",2039,0.9289
42049,Erie County,"Erie County, PA",139733,0.92900002
27057,Hubbard County,"Hubbard County, MN",16445,0.92909998
42027,Centre County,"Centre County, PA",75920,0.92919999
16075,Payette County,"Payette County, ID",11959,0.92930001
19161,Sac County,"Sac County, IA",7395,0.92940003
72091,ManatÃ­ Municipio,"ManatÃ­ Municipio, PR",19913,0.92940003
40135,Sequoyah County,"Sequoyah County, OK",22746,0.92979997
48063,Camp County,"Camp County, TX",8897,0.92989999
37179,Union County,"Union County, NC",104833,0.93000001
23013,Knox County,"Knox County, ME",27612,0.93010002
6029,Kern County,"Kern County, CA",343146,0.93019998
51630,Fredericksburg city,"Fredericksburg city, VA",14755,0.9303
35025,Lea County,"Lea County, NM",35312,0.93040001
1097,Mobile County,"Mobile County, AL",210793,0.93049997
19055,Delaware County,"Delaware County, IA",10741,0.93059999
26025,Calhoun County,"Calhoun County, MI",69713,0.93059999
56001,Albany County,"Albany County, WY",21039,0.9307
39055,Geauga County,"Geauga County, OH",43142,0.93099999
36095,Schoharie County,"Schoharie County, NY",19171,0.93110001
17037,DeKalb County,"DeKalb County, IL",50313,0.93120003
72079,Lajas Municipio,"Lajas Municipio, PR",13153,0.93120003
8015,Chaffee County,"Chaffee County, CO",13981,0.93129998
24035,Queen Anne's County,"Queen Anne's County, MD",25196,0.93129998
47179,Washington County,"Washington County, TN",70964,0.93129998
39057,Greene County,"Greene County, OH",80669,0.9314
5033,Crawford County,"Crawford County, AR",30983,0.93150002
31051,Dixon County,"Dixon County, NE",3522,0.93159997
20159,Rice County,"Rice County, KS",5836,0.93180001
24043,Washington County,"Washington County, MD",72789,0.93180001
5093,Mississippi County,"Mississippi County, AR",24367,0.93190002
29097,Jasper County,"Jasper County, MO",61342,0.93190002
48077,Clay County,"Clay County, TX",7683,0.93190002
21151,Madison County,"Madison County, KY",44889,0.93199998
45017,Calhoun County,"Calhoun County, SC",11058,0.93199998
48223,Hopkins County,"Hopkins County, TX",21138,0.93199998
27015,Brown County,"Brown County, MN",14451,0.9321
29099,Jefferson County,"Jefferson County, MO",100814,0.93220001
38023,Divide County,"Divide County, ND",2331,0.93220001
