Table ID,Table Title,Table Universe,Data Product Type,Year,'1-year Published Summary Levels'!A1,'5-year Published Summary Levels'!A1
B05003I,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO),People who are Hispanic or Latino,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05004,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Total population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Population born outside the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B05005PR,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Population born outside Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,Foreign-born population excluding population born at sea,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B05006PR,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO,Foreign-born population in Puerto Rico excluding population born at sea,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05007,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05008,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Own children under 18 years in families and subfamilies,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,Own children under 18 years in families and subfamilies for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05011,PERIOD OF NATURALIZATION,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05012,NATIVITY IN THE UNITED STATES,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B05012PR,NATIVITY IN PUERTO RICO,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B05013,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05014,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Foreign-born population,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B05015,PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION ,Foreign-born population excluding population born at sea,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06002,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06002PR,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06003,PLACE OF BIRTH BY SEX IN THE UNITED STATES,Total population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06003PR,PLACE OF BIRTH BY SEX IN PUERTO RICO,Total population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004A,PLACE OF BIRTH (WHITE ALONE) IN THE UNITED STATES,White alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004APR,PLACE OF BIRTH (WHITE ALONE) IN PUERTO RICO,White alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004B,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN THE UNITED STATES,Black or African American alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004BPR,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN PUERTO RICO,Black or African American alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004C,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN THE UNITED STATES,American Indian and Alaska Native alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004CPR,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN PUERTO RICO,American Indian and Alaska Native alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004D,PLACE OF BIRTH (ASIAN ALONE) IN THE UNITED STATES,Asian alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004DPR,PLACE OF BIRTH (ASIAN ALONE) IN PUERTO RICO,Asian alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004E,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN THE UNITED STATES,Native Hawaiian and other Pacific Islander alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004EPR,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN PUERTO RICO,Native Hawaiian and other Pacific Islander alone population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004F,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN THE UNITED STATES,Some other race alone population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004FPR,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN PUERTO RICO,Some other race population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004G,PLACE OF BIRTH (TWO OR MORE RACES) IN THE UNITED STATES,Two or more races population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004GPR,PLACE OF BIRTH (TWO OR MORE RACES) IN PUERTO RICO,Two or more races population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004H,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","White alone, not Hispanic or Latino population in the United States",Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004HPR,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO","White alone, not Hispanic or Latino population in Puerto Rico",Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06004I,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,Hispanic or Latino population in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06004IPR,PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO,Hispanic or Latino population in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,Population 5 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,Population 5 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06008,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES,Population 15 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06008PR,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06009,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES,Population 25 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06009PR,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO,Population 25 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06010,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) IN THE UNITED STATES,Population 15 years and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,Population 15 years and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN THE UNITED STATES,Population 15 years and over in the United States with income,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06011PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN PUERTO RICO,Population 15 years and over in Puerto Rico with income,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B06012,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES,Population in the United States for whom poverty status is determined,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B06012PR,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,Population in Puerto Rico for whom poverty status is determined,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07002,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07002PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07003,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES,Population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07003PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO,Population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004A,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,White alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004APR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,White alone population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004B,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Black or African American alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004BPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Black or African American alone population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004C,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,American Indian and Alaskan Native alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
B07004CPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,American Indian and Alaskan Native alone population 1 year and over in Puerto Rico,Detailed Table,"1,5",Puerto Rico geographies only,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); Puerto Rico geographies only"
B07004D,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Asian alone population 1 year and over in the United States,Detailed Table,"1,5",Excludes Puerto Rico geographies,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294); excludes Puerto Rico geographies"
